Date,Close,High,Low,Open,Volume,MA4,MA8,EMA4,EMA8,Volatility,RSI,OBV,MACD,MACD_Signal,MACD_Hist,Label
1999-05-14,0.3197442889213562,0.3460761913326203,0.3197442889213562,0.3394936426348078,1571763200,0.3313821330666542,0.3021114505827427,0.3225780394964097,0.309358231598251,0.030618543069030585,54.406023759632426,4436566400,-0.0006132216451696371,-0.009812275399054236,0.0091990537538846,1
1999-05-21,0.32726800441741943,0.3338505519428825,0.3079888272188338,0.323506545101147,1864934400,0.33232249319553375,0.30910584330558777,0.32445402546481356,0.31333818111362177,0.029782076739009993,62.49989601674823,6301500800,0.001357076369279453,-0.007578405045387499,0.008935481414666952,1
1999-05-28,0.3568911850452423,0.3611228176163183,0.32444691082306665,0.32585745501342533,1671723200,0.3378475680947304,0.31903908401727676,0.33742888929698506,0.32301662643175966,0.033055861810839714,65.9090147938828,7973224000,0.005248394620206598,-0.00501304511226868,0.010261439732475279,1
1999-06-04,0.36206409335136414,0.3686466421999208,0.3554806906927808,0.3583017794690109,1771459200,0.3414918929338455,0.33067695796489716,0.34728297091873667,0.3316938413027829,0.03654245920380603,74.32707891526401,9744683200,0.008649991124752343,-0.002280437864864476,0.010930428989616818,0
1999-06-11,0.3488982021808624,0.3648852452289485,0.33949370911968496,0.362064155964854,921939200,0.3487803712487221,0.34008125215768814,0.347929063423587,0.33551703260902277,0.03836214834171515,73.11612407918902,8822744000,0.010166213693062975,0.0002088924467210146,0.00995732124634196,0
1999-06-18,0.3183337152004242,0.35548064976027743,0.317863517050488,0.3413743285813403,1459147200,0.34654679894447327,0.3394346460700035,0.33609092413432184,0.3316985176293342,0.03849276504669809,60.8349146827347,7363596800,0.008800090376997138,0.0019271320327762394,0.0068729583442208985,1
1999-06-25,0.3409040570259094,0.3531296322961573,0.31645288137336425,0.31974416702354524,1444699200,0.34255001693964005,0.3401987925171852,0.33801617729095684,0.3337441930507954,0.03957855734923967,67.55716354721821,8808296000,0.009429963019981447,0.003427698230217281,0.006002264789764166,1
1999-07-02,0.41002506017684937,0.41425671686364557,0.3399636957951354,0.3425497096099581,3301692800,0.35454025864601135,0.34801607578992844,0.36681973044531385,0.3506954968565852,0.04563007113909643,73.22816003724164,12109988800,0.015329915193676824,0.00580814162290919,0.009521773570767635,0
1999-07-09,0.40062054991722107,0.4260120957921737,0.3860440603110544,0.4100250372944284,3512230400,0.367470845580101,0.35812560841441154,0.38034005823407674,0.36178995309228207,0.04936595565991023,70.40478774666667,8597758400,0.019027467614536997,0.008452006821234752,0.010575460793302245,0
1999-07-16,0.3940380811691284,0.41989980500403823,0.38463359194795066,0.4034425703903062,2539768000,0.38639693707227707,0.36647186800837517,0.3858192674080974,0.36895620377602567,0.0500275597202227,70.84639227499422,6057990400,0.02118247593457062,0.010998100643901927,0.010184375290668695,1
